,Job_Title,Queried_Salary,Job_Type,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
62,D3 - Junior Data Scientist 1,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",Allstate,5671.0,3.799999952316284,14.0,More than $10B (USD),10000+,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63,Data Scientist,80000-99999,data_scientist,"['R', 'Marketing', 'SAS', 'SQL', 'Python']",L. L. Bean,381.0,4.199999809265137,15.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Data Scientist,80000-99999,data_scientist,,University of California San Francisco,282.0,4.199999809265137,30.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Python', 'SQL']",Wunderman,197.0,3.9000000953674316,13.0,,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Data Scientist (Corporate),80000-99999,data_scientist,"['Data Mining', 'Statisical Analysis', 'Customer Service']",MGM Resorts International,1296.0,4.0,4.0,$5B to $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,Junior Data Scientist,80000-99999,data_scientist,"['Java', 'AI', 'Machine Learning']",Interactive Brokers,27.0,3.299999952316284,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
68,D3 - Junior Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",Allstate,5671.0,3.799999952316284,30.0,More than $10B (USD),10000+,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
69,Data Scientist II (Forecasting & Scheduling),80000-99999,data_scientist,"['Predictive Analytics', 'Hive', 'Spark', 'Machine Learning', 'Python', 'SQL', 'AWS']",Grubhub,322.0,3.299999952316284,28.0,Less than $1B (USD),Less than 10000,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
70,Data Scientist,80000-99999,data_scientist,"['Business Intelligence', 'Data Mining', 'Machine Learning', 'R', 'SAS', 'Sentiment Analytics', 'SQL', 'SPSS', 'Data Science', 'Python']",Amica Insurance Company,198.0,3.9000000953674316,13.0,,Less than 10000,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
71,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Data Management', 'MATLAB', 'R', 'SAS']",UPMC,2433.0,3.799999952316284,4.0,More than $10B (USD),10000+,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
72,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",Hearts and Science,,,13.0,,,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",Hearts and Science,,,13.0,,,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Data Scientist, International Programs",80000-99999,data_scientist,"['Data Mining', 'Excel']",Operation Smile,32.0,4.599999904632568,5.0,Less than $1B (USD),Less than 10000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Data Scientist (Python/R) – People Analytics - USDC,80000-99999,data_scientist,"['Data Mining', 'R', 'SAS', 'Sentiment Analytics', 'Microsoft Office', 'Tableau', 'Natural Language Processing', 'Python', 'Data Science']",Deloitte,7197.0,4.0,23.0,,10000+,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Microsoft Office', 'SQL']",Sedgwick Claims Management Services,1005.0,3.2000000476837163,19.0,,10000+,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
77,Data Scientist II,80000-99999,data_scientist,"['Business Intelligence', 'Power BI', 'Tableau']",MetLife,3842.0,3.9000000953674316,11.0,More than $10B (USD),10000+,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
78,Junior Data Scientist,80000-99999,data_scientist,"['AI', 'Machine Learning', 'R', 'Python', 'SQL', 'Tableau']",Dow Jones,181.0,3.799999952316284,30.0,,Less than 10000,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,"Data Scientist, Membership Analytics Job",80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'Project Management', 'Azure', 'Google Cloud Platform', 'SAS', 'SQL', 'Cloud Computing', 'Data Warehouse', 'Python', 'AWS']","BJ's Wholesale Club, Inc.",2550.0,3.5,20.0,More than $10B (USD),10000+,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'SQL']",Code Pilot,,,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'Excel', 'SQL']",Talking Rain Beverage Company,17.0,3.799999952316284,28.0,Less than $1B (USD),Less than 10000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
82,Data Scientist,80000-99999,data_scientist,"['MySQL', 'Machine Learning', 'R', 'Python']",Bright Cellars,3.0,1.2999999523162842,30.0,,,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,Data Scientist - Junior,80000-99999,data_scientist,"['Data Mining', 'Tableau']",MetroStar Systems,11.0,4.5,18.0,,Less than 10000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Data Scientist,80000-99999,data_scientist,"['Salesforce CRM', 'Pardot', 'Marketing Automation', 'SQL']",Omatic Software,,,30.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,Data Scientist,80000-99999,data_scientist,"['Certified Internal Auditor', 'UI']",Central Intelligence Agency,158.0,4.300000190734863,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'R', 'SAS', 'Microsoft Office', 'Excel', 'SQL', 'Big Data', 'Alteryx', 'SPSS', 'MATLAB', 'Six Sigma Certification', 'Six Sigma', 'Google Suite', 'Python']",Schnucks,998.0,3.5999999046325684,30.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
