Index,Job_Title,Queried_Salary,Job_Type,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
85,Data Scientist,80000-99999,data_scientist,Central Intelligence Agency,158.0,4.300000190734863,30.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
86,Data Scientist,80000-99999,data_scientist,Schnucks,998.0,3.5999999046325684,30.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
87,Data Scientist / Prognostic Health Monitoring Specialist,80000-99999,data_scientist,Abbott Laboratories,3285.0,4.099999904632568,6.0,More than $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
88,Data Scientist,80000-99999,data_scientist,Lawrence Berkeley National Laboratory,130.0,4.199999809265137,7.0,,,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Data Scientist,80000-99999,data_scientist,Shift Technology,,,30.0,,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,Data Analytics - Data Scientist,80000-99999,data_scientist,Consumers Energy,184.0,4.0,13.0,$5B to $10B (USD),Less than 10000,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
91,Data Scientist,80000-99999,data_scientist,Penn State University,732.0,4.400000095367432,30.0,,Less than 10000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
92,Data scientist,80000-99999,data_scientist,VillageCare,27.0,3.0999999046325684,30.0,,,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Data Scientist,80000-99999,data_scientist,Intercontinental Exchange,81.0,3.5,30.0,,,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,Intern - Data Scientist,80000-99999,data_scientist,Palo Alto Networks,56.0,4.099999904632568,30.0,,Less than 10000,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,Data Scientist,80000-99999,data_scientist,The Rawlings Group,32.0,2.700000047683716,30.0,,Less than 10000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
96,Data Scientist,80000-99999,data_scientist,Devoted Health,,,28.0,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,Data Scientist,80000-99999,data_scientist,Caris Life Sciences,44.0,3.2000000476837163,12.0,,,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,Data Scientist (Corporate),80000-99999,data_scientist,MGM Resorts International,1296.0,4.0,19.0,$5B to $10B (USD),10000+,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
99,Senior Data Scientist,80000-99999,data_scientist,ADT Corporation,3947.0,3.4000000953674316,5.0,$1B to $5B (USD),10000+,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,Sr Data Scientist,80000-99999,data_scientist,T-Mobile,8595.0,4.0,11.0,More than $10B (USD),10000+,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
101,Data Scientist,80000-99999,data_scientist,OM Partners,,,30.0,,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,Data Scientist - IS&T,80000-99999,data_scientist,Thomas Jefferson University and Hospitals,663.0,4.0,25.0,$1B to $5B (USD),10000+,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
103,Data Science Development Program- Junior Data Scientist,80000-99999,data_scientist,MassMutual Financial Group,845.0,3.799999952316284,30.0,More than $10B (USD),Less than 10000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
104,Data Scientist,80000-99999,data_scientist,FourthWall Media,,,30.0,,,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Data Scientist,80000-99999,data_scientist,Catalina Marketing,81.0,3.2000000476837163,29.0,Less than $1B (USD),Less than 10000,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
106,Data Scientist,80000-99999,data_scientist,Adobe,484.0,4.300000190734863,25.0,$5B to $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
107,Check and Deposit Fraud Data Scientist,80000-99999,data_scientist,BB&T,2153.0,3.700000047683716,9.0,Less than $1B (USD),10000+,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
108,Data Scientist,80000-99999,data_scientist,Hearts and Science,,,30.0,,,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"Data Scientist, Bioinformatics Developer",80000-99999,data_scientist,AbbVie,649.0,4.0,30.0,More than $10B (USD),10000+,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
110,Data Scientist,80000-99999,data_scientist,usajobs.gov,502.0,4.300000190734863,30.0,,10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
111,Geospatial Data Scientist 2,80000-99999,data_scientist,National Renewable Energy Laboratory,78.0,3.700000047683716,30.0,,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
112,Data Scientist,80000-99999,data_scientist,Sandhills Publishing,33.0,3.5,30.0,,Less than 10000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
113,Data Scientist,80000-99999,data_scientist,Southern Methodist University,126.0,4.199999809265137,30.0,,,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
114,Data Scientist,80000-99999,data_scientist,Energy Sense Finance,,,30.0,,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,"Data Scientist, Consumer Revenue",80000-99999,data_scientist,New York Media LLC,2.0,2.5,30.0,,,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Data Scientist (Bioinformatics),80000-99999,data_scientist,ESAC Inc,2.0,4.0,30.0,,,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
117,Data Scientist,80000-99999,data_scientist,Aunalytics,,,26.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
